feature,importance
weather,0.5039134504361409
route_risk,0.05812397448515061
shipment_mode,0.046249558377236856
traffic_index,0.044461205374169685
supplier_reliability,0.03182854310833747
lead_time_days,0.022619057975926404
distance_km,0.01130886934540456
inventory_to_order_ratio,0.005295549682383771
supplier_risk,0.004983988154470542
inventory_level,0.000706003257180865
high_traffic,0.0005307386112339607
long_lead_time,0.0
long_distance,0.0
product_category,-0.0005340453938584844
region,-0.0015993379299342526
